Tipo_Pericia,Tipo_Local,Qtd_Objetos,Qtd_Fotos,Qtd_Fitas,Horario_Exame,Delegacia,Tecnica_Utilizada,Violencia_Domestica,Vitima_Idosa,Classificacao_Prioridade
Exercício Arbitrário das Próprias Razões,Terreno Baldio,5,15,2,2023-03-16 16:23:00,DCA (Criança e Adolescente),"Empoamento, Luz forense/lanterna, Macrofotografia",True,False,0.2991
Furto Qualificado (arrombamento),DP,1,27,1,2023-01-27 01:03:00,DEAM (Mulher),"Luz forense/lanterna, Empoamento",False,False,0.1552
Furto Qualificado (arrombamento),Terreno Baldio,3,8,1,2023-01-29 01:55:00,3ª DP,"Luz forense/lanterna, Empoamento, Macrofotografia",True,False,0.3032
Morte Aparentemente Natural,Pátio,4,32,0,2023-05-05 18:37:00,2ª DP,"Macrofotografia, Empoamento",False,False,0.1756
Roubo Com Estupro,Terreno Baldio,3,39,0,2023-07-20 02:22:00,DHPP (Homicídios),Luz forense/lanterna,False,False,0.7204
Marca em Animal,Hospital,0,76,0,2023-03-05 01:20:00,3ª DP,Luz forense/lanterna,False,False,0.1564
Dano,Hospital,2,7,0,2023-07-17 05:49:00,2ª DP,"Empoamento, Macrofotografia, Luz forense/lanterna",True,True,0.433
Violação de Sepultura,Hospital,4,15,0,2023-04-06 00:21:00,3ª DP,Empoamento,False,False,0.113
Feto Encontrado,DP,1,78,1,2023-07-25 06:52:00,DCA (Criança e Adolescente),Macrofotografia,True,False,0.8122
Incêndio (sem vítima),Via Pública,0,16,0,2023-03-31 04:13:00,1ª DP,"Empoamento, Macrofotografia",True,True,0.4821
Incêndio (sem vítima),Hospital,4,5,0,2023-06-09 16:33:00,DEAM (Mulher),"Luz forense/lanterna, Empoamento",True,False,0.262
Tentativa de Homicídio,DP,11,13,7,2023-04-14 12:52:00,2ª DP,Luz forense/lanterna,False,True,0.8594
Morte Aparentemente Natural,Residência,1,18,0,2023-11-16 23:22:00,1ª DP,Macrofotografia,True,False,0.3035
Adulteração de Placa e/ou Lacre,DP,2,12,0,2023-04-15 00:39:00,2ª DP,"Macrofotografia, Luz forense/lanterna, Empoamento",False,False,0.1036
Roubo Com Estupro,Via Pública,5,7,0,2023-08-24 00:35:00,3ª DP,Empoamento,True,True,1.0
Explosão (sem vítima),Estabelecimento Comercial,1,8,5,2023-02-18 02:25:00,DCA (Criança e Adolescente),"Luz forense/lanterna, Macrofotografia, Empoamento",False,True,0.2984
Incêndio (sem vítima),Hospital,1,16,1,2023-03-03 16:45:00,DEAM (Mulher),"Luz forense/lanterna, Macrofotografia",False,True,0.3471
Explosão (com vítima),Residência,1,7,0,2023-06-21 08:26:00,DRFC (Furtos),"Empoamento, Macrofotografia",True,False,0.5664
Furto d'água,Pátio,14,35,0,2023-08-04 07:36:00,2ª DP,"Luz forense/lanterna, Empoamento",True,False,0.2661
Roubo Com Estupro,Área Rural,0,14,0,2023-06-10 18:54:00,DRFC (Furtos),Empoamento,False,False,0.7435
Estelionato,Pátio,1,25,0,2023-01-16 02:56:00,DCA (Criança e Adolescente),"Empoamento, Luz forense/lanterna",False,False,0.1629
Morte Aparentemente Natural,Terreno Baldio,3,19,2,2023-02-19 04:25:00,3ª DP,"Macrofotografia, Empoamento",False,False,0.1754
Pichação,Área Rural,3,28,2,2023-07-25 15:05:00,DHPP (Homicídios),"Empoamento, Luz forense/lanterna, Macrofotografia",True,True,0.4918
Abandono de Incapaz,Pátio,1,6,0,2023-11-03 07:37:00,1ª DP,Empoamento,False,False,0.7485
Incêndio (sem vítima),Hospital,1,14,0,2023-10-19 01:00:00,DCA (Criança e Adolescente),"Macrofotografia, Luz forense/lanterna, Empoamento",True,False,0.2991
Dano,Terreno Baldio,0,39,1,2023-01-24 02:34:00,DHPP (Homicídios),"Luz forense/lanterna, Macrofotografia",False,False,0.1131
Roubo,Área Rural,2,11,2,2023-05-20 04:24:00,DCA (Criança e Adolescente),Macrofotografia,False,True,0.5476
Ameaça,Pátio,4,14,9,2023-11-02 22:12:00,DRFC (Furtos),"Empoamento, Luz forense/lanterna",False,False,0.181
Dano Seguido de Lesão Corporal,Hospital,0,9,5,2023-02-22 13:57:00,DEAM (Mulher),"Luz forense/lanterna, Empoamento, Macrofotografia",True,False,0.5936
Ossada Encontrada,Via Pública,2,38,10,2023-07-18 05:01:00,1ª DP,"Empoamento, Macrofotografia",False,True,0.2747
Marca em Animal,DP,4,17,0,2023-08-17 04:09:00,DHPP (Homicídios),Empoamento,False,False,0.1731
Pichação,Hospital,5,149,0,2023-10-15 17:05:00,DRFC (Furtos),"Empoamento, Macrofotografia, Luz forense/lanterna",False,False,0.1637
Homicídio,Estabelecimento Comercial,5,54,4,2023-05-04 22:43:00,DCA (Criança e Adolescente),"Empoamento, Macrofotografia, Luz forense/lanterna",True,False,0.8551
Morte Aparentemente Natural,Residência,2,32,2,2023-01-23 17:40:00,DRFC (Furtos),"Macrofotografia, Luz forense/lanterna",False,True,0.2979
Suicídio,DP,2,7,4,2023-05-04 01:10:00,DCA (Criança e Adolescente),Macrofotografia,True,True,0.4051
Local de Estupro e/ou Veículo Envolvido em Estupro,Residência,4,43,4,2023-09-26 13:02:00,DCA (Criança e Adolescente),Macrofotografia,True,False,0.8133
Pichação,DP,3,20,3,2023-05-30 00:09:00,DCA (Criança e Adolescente),"Empoamento, Luz forense/lanterna, Macrofotografia",True,True,0.4801
Maus Tratos de Animal,DP,0,15,3,2023-10-03 03:30:00,DRFC (Furtos),"Macrofotografia, Empoamento",False,False,0.1694
Tentativa de Suicídio,Terreno Baldio,11,17,1,2023-11-28 01:21:00,DHPP (Homicídios),"Empoamento, Luz forense/lanterna, Macrofotografia",True,False,0.2959
Tráfico de Entorpecentes,Residência,0,5,4,2023-08-18 12:55:00,3ª DP,Macrofotografia,True,False,0.2748
Receptação,DP,0,30,0,2023-08-26 14:39:00,DRFC (Furtos),Empoamento,True,False,0.3346
Desmanche de Veículos,Área Rural,0,8,1,2023-01-18 07:55:00,DHPP (Homicídios),"Empoamento, Luz forense/lanterna, Macrofotografia",True,False,0.2912
Ossada Encontrada,DP,7,10,5,2023-02-06 19:12:00,DCA (Criança e Adolescente),Luz forense/lanterna,True,False,0.3255
Homicídio,Terreno Baldio,0,12,0,2023-09-17 00:43:00,DRFC (Furtos),"Luz forense/lanterna, Macrofotografia",True,False,0.8
Exercício Arbitrário das Próprias Razões,Área Rural,1,40,1,2023-05-17 09:41:00,DEAM (Mulher),"Luz forense/lanterna, Macrofotografia, Empoamento",False,False,0.1101
Feto Encontrado,DP,2,29,0,2023-03-16 11:13:00,DRFC (Furtos),Macrofotografia,True,False,0.839
Furto Qualificado (arrombamento),DP,0,84,0,2023-08-19 20:35:00,DHPP (Homicídios),"Empoamento, Luz forense/lanterna, Macrofotografia",True,False,0.2557
Pichação,Terreno Baldio,9,28,0,2023-06-22 07:04:00,1ª DP,Empoamento,True,False,0.2579
Suicídio,Terreno Baldio,3,38,0,2023-03-31 17:17:00,2ª DP,"Luz forense/lanterna, Macrofotografia, Empoamento",False,True,0.2875
Maus Tratos de Animal,DP,3,23,1,2023-05-29 13:48:00,DRFC (Furtos),Luz forense/lanterna,True,True,0.4776
Ameaça,Terreno Baldio,1,22,1,2023-12-31 20:14:00,2ª DP,"Empoamento, Luz forense/lanterna",True,True,0.4246
Dano Seguido de Lesão Corporal,Residência,0,48,0,2023-09-18 14:05:00,1ª DP,"Luz forense/lanterna, Macrofotografia",True,False,0.5061
Furto d'água,DP,2,9,0,2023-06-27 11:47:00,DRFC (Furtos),Macrofotografia,True,False,0.2771
Afogamento,Estabelecimento Comercial,1,27,0,2023-07-13 22:08:00,DHPP (Homicídios),"Macrofotografia, Luz forense/lanterna",False,False,0.1082
Violação de Domicílio,Área Rural,1,29,7,2023-12-20 16:13:00,1ª DP,"Empoamento, Macrofotografia",False,False,0.163
Feminicídio,Estabelecimento Comercial,0,16,0,2023-06-13 06:23:00,DCA (Criança e Adolescente),Empoamento,True,False,0.8502
Furto d'água,Residência,10,19,0,2023-05-04 17:05:00,DCA (Criança e Adolescente),"Macrofotografia, Empoamento",True,True,0.4627
Furto em Interior de Veículo,DP,2,7,0,2023-06-23 10:34:00,2ª DP,"Luz forense/lanterna, Empoamento, Macrofotografia",False,False,0.1908
Exercício Arbitrário das Próprias Razões,Pátio,0,13,0,2023-02-18 00:06:00,DEAM (Mulher),"Macrofotografia, Empoamento",True,False,0.3459
Explosão (com vítima),DP,6,43,2,2023-09-27 10:34:00,DRFC (Furtos),"Luz forense/lanterna, Empoamento, Macrofotografia",False,False,0.3846
Adulteração de Placa e/ou Lacre,Hospital,0,72,5,2023-12-06 15:48:00,2ª DP,Macrofotografia,True,False,0.3426
Roubo,Terreno Baldio,6,21,3,2023-12-20 07:32:00,DCA (Criança e Adolescente),"Empoamento, Macrofotografia",True,False,0.5601
Aborto,Pátio,1,10,3,2023-05-10 13:21:00,DHPP (Homicídios),"Empoamento, Luz forense/lanterna, Macrofotografia",False,False,0.1148
Aborto,Pátio,2,10,1,2023-04-13 06:47:00,DCA (Criança e Adolescente),"Macrofotografia, Luz forense/lanterna, Empoamento",False,False,0.1009
Violação de Sepultura,DP,1,51,5,2023-04-17 01:34:00,2ª DP,"Empoamento, Luz forense/lanterna, Macrofotografia",True,False,0.3242
Furto Qualificado (arrombamento),Residência,3,23,2,2023-08-19 22:22:00,DEAM (Mulher),Empoamento,True,True,0.4818
Feminicídio,Terreno Baldio,2,10,1,2023-09-26 15:24:00,DEAM (Mulher),"Macrofotografia, Luz forense/lanterna",True,False,0.8908
Adulteração de Placa e/ou Lacre,Residência,0,21,0,2023-08-17 01:03:00,2ª DP,"Luz forense/lanterna, Empoamento",True,False,0.3171
Furto d'água,Estabelecimento Comercial,8,13,6,2023-02-03 04:43:00,DEAM (Mulher),"Macrofotografia, Luz forense/lanterna, Empoamento",False,False,0.1214
Morte Aparentemente Natural,Via Pública,0,98,2,2023-06-13 19:57:00,2ª DP,"Luz forense/lanterna, Macrofotografia",False,True,0.2836
Furto Qualificado (arrombamento),Área Rural,4,56,2,2023-11-03 22:23:00,3ª DP,Luz forense/lanterna,False,True,0.288
Dano,Terreno Baldio,5,9,2,2023-04-08 14:35:00,DRFC (Furtos),Macrofotografia,False,False,0.1919
Homicídio,Terreno Baldio,1,24,3,2023-01-16 13:34:00,1ª DP,"Macrofotografia, Luz forense/lanterna, Empoamento",False,False,0.7252
Local de Estupro e/ou Veículo Envolvido em Estupro,Estabelecimento Comercial,2,5,0,2023-11-22 19:18:00,3ª DP,Luz forense/lanterna,False,True,0.8273
Tentativa de Suicídio,DP,4,39,2,2023-10-22 06:22:00,2ª DP,Macrofotografia,True,False,0.3446
Homicídio,Hospital,0,44,1,2023-01-13 16:22:00,DEAM (Mulher),Empoamento,False,False,0.7249
Violação de Sepultura,Terreno Baldio,0,23,4,2023-04-04 10:25:00,DCA (Criança e Adolescente),Empoamento,False,True,0.3091
Maus Tratos de Animal,Hospital,4,14,4,2023-04-09 02:33:00,DHPP (Homicídios),Luz forense/lanterna,True,True,0.4928
Ossada Encontrada,DP,5,19,0,2023-11-21 02:35:00,DHPP (Homicídios),"Macrofotografia, Luz forense/lanterna, Empoamento",False,False,0.1787
Feto Encontrado,Hospital,1,8,0,2023-08-26 11:36:00,2ª DP,"Empoamento, Luz forense/lanterna, Macrofotografia",False,False,0.6726
Ameaça,Via Pública,3,36,0,2023-03-05 04:43:00,3ª DP,"Empoamento, Luz forense/lanterna",True,False,0.2687
Tráfico de Entorpecentes,Estabelecimento Comercial,0,31,2,2023-11-25 14:20:00,DEAM (Mulher),Empoamento,True,False,0.2947
Suicídio,Via Pública,2,10,0,2023-12-01 20:17:00,3ª DP,Luz forense/lanterna,False,False,0.1353
Homicídio,DP,1,6,1,2023-10-10 15:32:00,DRFC (Furtos),"Luz forense/lanterna, Empoamento",False,True,0.8642
Adulteração de Placa e/ou Lacre,Área Rural,3,44,1,2023-12-20 21:13:00,2ª DP,Luz forense/lanterna,False,True,0.3418
Morte Aparentemente Natural,Via Pública,0,32,3,2023-04-22 05:12:00,3ª DP,Empoamento,True,True,0.4154
Furto d'água,Terreno Baldio,0,19,2,2023-05-09 15:06:00,3ª DP,"Empoamento, Luz forense/lanterna",False,False,0.1572
