Tipo_Pericia,Tipo_Local,Qtd_Objetos,Qtd_Fotos,Qtd_Fitas,Horario_Exame,Delegacia,Tecnica_Utilizada,Violencia_Domestica,Vitima_Idosa,Classificacao_Prioridade
Dano,Área Rural,6,7,3,2023-04-06 08:41:00,DRFC (Furtos),"Empoamento, Macrofotografia, Luz forense/lanterna",False,True,0.279
Morte Aparentemente Natural,Estabelecimento Comercial,2,14,0,2023-01-29 22:36:00,DRFC (Furtos),"Luz forense/lanterna, Empoamento, Macrofotografia",Nao,False,0.2679
Aborto,Residência,2,46,3,2023-06-09 14:20:00,DRFC (Furtos),"Luz forense/lanterna, Empoamento",False,True,0.3358
Furto Qualificado (arrombamento),Área Rural,0,40,6,2023-10-21 10:37:00,DEAM (Mulher),"Luz forense/lanterna, Macrofotografia, Empoamento",True,False,0.2517
Aborto,Pátio,5,8,3,2023-05-14 16:31:00,DEAM (Mulher),Empoamento,True,True,0.4699
Cadáver Encontrado,Pátio,1,8,6,2023-02-05 18:56:00,DEAM (Mulher),"Luz forense/lanterna, Macrofotografia",False,True,0.2579
Dano,Área Rural,7,27,3,2023-09-19 08:33:00,1ª DP,"Macrofotografia, Luz forense/lanterna",False,False,0.1039
Feto Encontrado,Estabelecimento Comercial,1,999999,0,2023-10-21 17:38:00,DHPP (Homicídios),Luz forense/lanterna,True,False,0.8468
Explosão (com vítima),Pátio,0,6,0,2023-05-03 22:42:00,DEAM (Mulher),Empoamento,False,False,0.4255
Dano Seguido de Lesão Corporal,Área Rural,2,12,1,2023-02-24 09:57:00,DCA (Criança e Adolescente),"Luz forense/lanterna, Empoamento, Macrofotografia",False,False,0.4334
Explosão (sem vítima),Hospital,1,10,-2,2023-08-21 00:57:00,3ª DP,"Luz forense/lanterna, Macrofotografia",False,False,0.1916
Local de Estupro e/ou Veículo Envolvido em Estupro,Terreno Baldio,5,6,7,2023-09-21 08:40:00,DHPP (Homicídios),"Empoamento, Macrofotografia",True,True,0.963
Extorsão,Pátio,1,19,0,2023-04-21 00:49:00,3ª DP,"Macrofotografia, Luz forense/lanterna",False,False,0.3912
Furto de Energia Elétrica ou Termodinâmica,DP,2,6,0,2023-02-19 20:57:00,DRFC (Furtos),"Macrofotografia, Luz forense/lanterna",False,True,0.2659
Ameaça,Área Rural,2,36,0,2023-10-01 19:30:00,DEAM (Mulher),"Empoamento, Luz forense/lanterna",True,True,0.4567
Furto d'água,Pátio,3,22,2,2023-01-01 01:30:00,DHPP (Homicídios),"Luz forense/lanterna, Empoamento",True,False,0.2849
Incêndio (sem vítima),DP,0,38,2,2023-01-17 01:48:00,2ª DP,"Empoamento, Luz forense/lanterna, Macrofotografia",True,False,0.2556
Feminicídio,Hospital,2,6,0,data_invalida,DHPP (Homicídios),Macrofotografia,True,False,0.8358
Adulteração de Placa e/ou Lacre,Residência,3,17,1,2023-07-20 09:46:00,2ª DP,"Macrofotografia, Empoamento, Luz forense/lanterna",False,True,0.3141
Receptação,DP,3,38,5,31/02/2023 25:00:00,3ª DP,"Macrofotografia, Luz forense/lanterna",True,False,0.3012
Feto Encontrado,Pátio,0,7,0,2023-05-04 09:20:00,DRFC (Furtos),"Luz forense/lanterna, Empoamento, Macrofotografia",True,False,0.8039
